Developer,"My Rating",Title,Genre,Publisher,"Release Date","Added Date"
"Climax Graphics",0,"Blue Stinger",Adventure,Sega,"Mar 25, 1999","Apr 23, 2017"
Jaleco,0,Carrier,Adventure,"Jaleco Entertainment","Feb 29, 2000","Apr 23, 2017"
"Sonic Team",0,"ChuChu Rocket!",Puzzle,Sega,"Nov 11, 1999","May 29, 2018"
"Z-AXIS, Ltd.",0,"Dave Mirra Freestyle BMX",Sports,Acclaim,"Dec 08, 2000","Apr 23, 2017"
"Capcom Co., Ltd.",0,"Dino Crisis","Adventure, Survival Horror","Capcom Entertainment, Inc.","Nov 16, 2000","Nov 25, 2018"
"Appaloosa Interactive",0,"Ecco the Dolphin: Defender of the Future",Action,Sega,"Sep 11, 2000","Jan 21, 2018"
Midway,0,"Gauntlet Legends","Action, Adventure",Midway,"Jun 06, 2000","Jan 21, 2018"
"Game Arts",0,"Grandia II",RPG,"Ubi Soft","Dec 11, 2000","Jan 21, 2018"
"Eurocom Developments Ltd.",0,"Hydro Thunder",Racing,Midway,"Sep 09, 1999","Apr 23, 2017"
"Atlus Co., Ltd.",0,"Maken X",Action,"Sega of America Inc.","Apr 25, 2000","Apr 23, 2017"
"Bizarre Creations",0,"Metropolis Street Racer",Racing,Sega,"Jan 16, 2001","Apr 23, 2017"
"Eurocom Developments Ltd.",0,"Mortal Kombat Gold",Fighting,Midway,"Sep 09, 1999","Jan 21, 2018"
"Visual Concepts",0,"NFL 2K1",Sports,Sega,"Sep 05, 2000","Oct 16, 2017"
Acclaim,0,Re-Volt,Racing,Acclaim,1999,"Apr 23, 2017"
Midway,0,"Ready 2 Rumble Boxing","Fighting, Sports",Sega,"Jan 13, 1999","Apr 23, 2017"
"UEP Systems",0,"Rippin' Riders",Sports,Sega,1999,"Apr 23, 2017"
AM3,0,"Sega Rally Championship 2",Racing,Sega,"Oct 31, 1999","Apr 23, 2017"
Namco,0,SoulCalibur,Fighting,Sega,"Sep 09, 1999","Apr 23, 2017"
"Genki Co. Ltd.",0,"Super Magnetic Neo","Action, Platformer","Crave Entertainment","Feb 03, 2000","Apr 23, 2017"
"ASCII Corporation",0,"Sword of the Berserk: Guts' Rage",Action,"Eidos Interactive","Apr 03, 2000","Apr 23, 2017"
SEGA,0,"Time Stalkers",RPG,Sega,"Sep 30, 2000","Jul 27, 2017"
"Genki Co. Ltd.",0,"Tokyo Xtreme Racer",Racing,"Crave Entertainment, Inc.","Sep 09, 1999","Apr 23, 2017"
