Platform,Title,Genre,Publisher,Developer,Release Date,Audience Rating
Family Computer / Famicom,Clu Clu Land,Action,Nintendo,Nintendo,22-Nov-84,
Family Computer / Famicom,Demon Sword,"Action, Platformer",Taito,Taito,29-Mar-89,
Family Computer / Famicom,F1 Race,Racing,Nintendo,HAL Laboratory Inc.,2-Nov-84,
Family Computer / Famicom,Final Fantasy I-II,RPG,SquareSoft,SquareSoft,27-Feb-94,
Family Computer / Famicom,Gradius,Shooter,Konami,Konami,25-Apr-86,
Family Computer / Famicom,Hokuto no Ken II: Seikimatsu Kyuuseishu Densetsu,Action,Toei Animation,Shouei,17-Apr-87,
Family Computer / Famicom,Holy Diver,Platformer,Irem,Irem,28-Apr-89,
Family Computer / Famicom,RockMan 5,Platformer,Capcom,Capcom,4-Dec-92,
Family Computer / Famicom,Super Mario Bros.,Platformer,Nintendo,Nintendo,13-Sep-85,
Family Computer / Famicom,Super Mario Bros. 3,Platformer,Nintendo,Nintendo,23-Oct-88,
Family Computer Disk System,Akumajo Dracula,Platformer,Konami,Konami,26-Sep-86,
Family Computer Disk System,Famicom Grand Prix II: 3D Hot Rally,Racing,Nintendo,Nintendo,14-Apr-88,
Family Computer Disk System,Famicom Grand Prix: F1 Race,Racing,Nintendo,Nintendo,30-Oct-87,
Family Computer Disk System,The Legend of Zelda 2: Link no Bouken,"Action/Adventure, Adventure",Nintendo,Nintendo,14-Jan-87,
Family Computer Disk System,The Mysterious Murasame Castle,Action,Nintendo,Nintendo,14-Apr-86,
Family Computer Disk System,Super Mario Bros. 2,Adventure,Nintendo,Nintendo,3-Jun-86,
Family Computer Disk System,Yume Koujou: Doki Doki Panic,Platformer,Fuji Television,Nintendo,10-Jul-87,
Family Computer Disk System,Zelda no Densetsu: The Hyrule Fantasy,Action/Adventure,Nintendo,Nintendo,21-Feb-86,
Game Boy,The Castlevania Adventure,"Action, Adventure",Konami,"Konami Co., Ltd.",27-Dec-90,
Game Boy,Castlevania II: Belmont's Revenge,"Action, Adventure","Konami of America, Inc.",Konami,12-Aug-91,
Game Boy,Final Fantasy Adventure,RPG,Sunsoft,Square Co. Ltd.,1-Nov-91,
Game Boy,Game & Watch Gallery,"Action, Compilation","Nintendo of America, Inc.",Nintendo Co. Ltd.,1997,
Game Boy,Gargoyle's Quest,Action,Capcom USA,Capcom,1990,
Game Boy,Harvest Moon,Simulation,Crave Entertainment,,1998,
Game Boy,Kid Icarus: Of Myths and Monsters,Shooter,Nintendo,Nintendo Co. Ltd.,1991,
Game Boy,Metroid II: Return of Samus,"Action, Adventure, Shooter",Nintendo,Nintendo,26-Aug-92,
Game Boy,Nemesis,"Action, Shooter",Ultra Games,"Konami Co., Ltd.",Apr-90,
Game Boy,Operation C,"Action, Platformer, Shooter",Ultra Games,"Konami Co., Ltd.",1991,
Game Boy,Pokémon Blue Version,RPG,Nintendo,Game Freak,30-Sep-98,Everyone
Game Boy,Pokémon Red Version,"Adventure, RPG","Nintendo of America, Inc.","Game Freak, Inc.",30-Sep-98,Everyone
Game Boy,Pokémon Trading Card Game,Cards,Coconuts Japan,Marionette,15-Jun-90,
